Level_PV,Level_SP
64.8340606689453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.2094268798828,65
65.2445220947266,65
65.3192977905273,65
65.3192977905273,65
65.2842025756836,65
65.2842025756836,65
65.2094268798828,65
65.2094268798828,65
65.2445220947266,65
65.2445220947266,65
65.2842025756836,65
65.2842025756836,65
65.3192977905273,65
65.3192977905273,65
65.2842025756836,65
65.2842025756836,65
65.2445220947266,65
65.2094268798828,65
65.1712799072266,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.7989654541016,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7989654541016,65
64.7989654541016,65
64.7989654541016,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.7989654541016,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.7989654541016,65
64.7989654541016,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.8340606689453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0980377197266,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8340606689453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9820709228516,65
64.9469757080078,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0202178955078,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.1361846923828,65
65.2094268798828,65
65.2094268798828,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1712799072266,65
65.1712799072266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
65.0202178955078,65
65.0202178955078,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.7989654541016,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7989654541016,65
64.7989654541016,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7562408447266,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.1712799072266,65
65.2445220947266,65
65.2445220947266,65
65.2445220947266,65
65.2094268798828,65
65.2094268798828,65
65.2094268798828,65
65.2094268798828,65
65.2445220947266,65
65.2445220947266,65
65.2842025756836,65
65.2842025756836,65
65.2842025756836,65
65.2094268798828,65
65.2094268798828,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.9073028564453,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1712799072266,65
65.2445220947266,65
65.2094268798828,65
65.2094268798828,65
65.1712799072266,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.1712799072266,65
65.2445220947266,65
65.2445220947266,65
65.2094268798828,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.2445220947266,65
65.2445220947266,65
65.2094268798828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9073028564453,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.9073028564453,65
64.8722076416016,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9073028564453,65
64.9469757080078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0202178955078,65
65.0202178955078,65
65.0980377197266,65
65.1361846923828,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1712799072266,65
65.1712799072266,65
65.2094268798828,65
65.1712799072266,65
65.1712799072266,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.1712799072266,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
64.9469757080078,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.7989654541016,65
64.7989654541016,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.8340606689453,65
64.7989654541016,65
64.7562408447266,65
64.7562408447266,65
64.8340606689453,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.1361846923828,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.8722076416016,65
64.8722076416016,65
64.8340606689453,65
64.8340606689453,65
64.8722076416016,65
64.8722076416016,65
64.8722076416016,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
64.9469757080078,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9820709228516,65
64.9073028564453,65
64.9073028564453,65
64.9469757080078,65
64.9073028564453,65
64.9469757080078,65
64.9469757080078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0629425048828,65
65.0980377197266,65
65.0980377197266,65
65.0980377197266,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
65.0202178955078,65
64.9820709228516,65
65.0202178955078,65
65.0202178955078,65
65.0629425048828,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.1361846923828,65
65.1361846923828,65
65.0629425048828,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0980377197266,65
65.1712799072266,65
65.1712799072266,65
65.2094268798828,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1361846923828,65
65.1712799072266,65
65.2094268798828,65
65.1712799072266,65
65.1712799072266,65
65.1361846923828,65
65.1361846923828,65
65.0980377197266,65
65.0980377197266,65
65.0629425048828,65
65.0202178955078,65
65.0629425048828,65
65.0629425048828,65
65.0980377197266,65
65.1361846923828,65
65.0980377197266,65
65.0629425048828,65
65.0629425048828,65
65.0202178955078,65
64.9820709228516,65
64.9469757080078,65
64.9469757080078,65
64.9073028564453,65
64.9469757080078,65
64.9820709228516,65
65.0202178955078,65
